actividades,categorias,descripcion,precio
Ruta de misterios y leyendas por Santa Cruz de Tenerife,Tours a pie,"Disfruta de una fantástica noche de miedo, paisajes y misterios en un lugar lleno de leyendas, una  ruta... Más información",39.0
Parque Nacional del Teide y norte de la isla desde Santa Cruz de Tenerife,Excursiones de un día,"Nuestra primera parada será en la ciudad de La Laguna: antigua capital de la isla, segunda parada en el... Más información",60.0
Tour por Santa Cruz de Tenerife con recogida desde el sur,Visitas Guiadas,En esta visita podrá visitar las mejores tiendas de Santa Cruz o simplemente pasear por esta bella ciudad... Más información,18.35
"La Laguna, Tangana y Santa Cruz desde Puerto de la Cruz",Excursiones de un día,"Descubra la  belleza natural de La Laguna, Tangana y Santa Cruz desde Puerto de la Cruz... Más información",33.9
Visita guiada a pie por el barrio judío de Santa Cruz de Sevilla,Tours a pie,"Contemple  el barrio judío de Sevilla en un tour guiado a pie de 1,15 horas aproximadamente, paseara por... Más información",14.85
Traslados a la ciudad de Puerto de la Cruz,Excursiones de un día,"Trayecto en un cómodo autobús con aire acondicionado, a la ciudad de Puerto de la Cruz, en el norte de... Más información",19.25
"Visita guíada por Santander, 1941 el gran incendio",Tours a pie,"Hay muchas maneras de conocer la capital de Cantabria, Santander... Más información",10.0
Ruta privada de Semana Santa en Sevilla,Visitas Guiadas,"Haga la fantástica ruta de Semana Santa en Sevilla, visite las iglesias más bella  de la ciudad y el... Más información",160.0
Excursión de medio día por la ciudad de Santiago y Santa Lucía,Excursiones de un día,"Salida desde su hotel en Santiago para comenzar el recorrido hacia el centro de la ciudad, donde conocerá... Más información",35.0
Visita guiada de la Última Cena y Santa Maria delle Grazie,Visitas Guiadas,"Sigue los pasos del gran  Leonardo da Vinci  en Milán, recorriendo durante  1 hora y 15 minutos  "" La... Más información",97.0
Excursión en bicicleta Cuevas del Castillo y Arte Paleotitico,Tours en Bicicleta,"Excursión de un día para visitar las famosas cuevas de ""El Castillo"" y ""Las Monedas"" en Puente Viesgo y... Más información",65.0
"Concierto de música clásica en la iglesia Santa Ana, Mozart, Beethoven o Schubert",Espectáculos,Concierto de música clásica en la iglesia Santa Ana de Viena... Más información,33.0
Excursión a la región de Collados del Asón y experiencia en canoa,Actividades Acuáticas,Saldremos de Santander para visitar la cueva de Cullalvera o la cueva de Covalanas (según disponibilidad)... Más información,120.0
Concierto de Guitarra Española en la Basílica Santa María del Pi,Entradas y Atracciones,Disfrute de un concierto de guitarra clásica de 1 hora en la iglesia de Santa María del Pi en pleno... Más información,25.0
Bautismo de buceo en Santa Ponsa,Actividades Acuáticas,"Con este curso rápido de buceo para principiantes, aprenderá a respirar bajo el agua y se sentirás... Más información",117.9
Billetes para el teleférico de Fuente Dé,Entradas y Atracciones,Entradas para el Teleférico de Fuente... Más información,20.0
Alquiler de kayak o paddle surf en Santa Ponça,Actividades Acuáticas,"Disfrute con el alquiler de Kayak o Paddle, que nos llevará en poco tiempo a una espectacular zona virgen... Más información",15.5
Traslados desde el Aeropuerto de Santander,Traslados Aeropuertos,"Servicio de transfer en Santander puerta a puerta del aeropuerto al centro y viceversa, fácil y cómodo... Más información",26.0
"Tour de medio día por la Mezquita Azul, Santa Sofía y el Gran Bazar",Visitas Guiadas,"Disfrute de un tour de medio día por Estambul, con una extensa visita guiada a pie... Más información",72.8
Ruta especial: Semana Santa en Sevilla,Visitas Guiadas,"Visite la Semana Santa con nosotros, en este tour a pie, conocerá esta vieja tradición Sevillana... Más información",17.8
Fiesta Gaucha en Estancia Santa Susana,Espectáculos,"Tour privado a un rancho tradicional y típico de Argentina, donde serás recibido con empanadas (pastel... Más información",238.95
"Caminata por los Picos de Europa, visita a Potes y circuito Spa",Excursiones de un día,"Saldremos desde Santander en dirección al  Teleférico de Fuente Dé, donde subiremos al teleférico, para... Más información",139.0
Sabores de Cantabria,Experiencias Gastronómicas,Estimule sus cinco sentidos con esta excursion: le encantará el silencio y la paz de los campos de viñedos... Más información,146.95
Palacio de Topkapi y las tumbas del sultán en Santa Sophia,Visitas Guiadas,"Visite  el Palacio de Topkapi y las tumbas del sultán en Santa Sophia, en este tour de medio dia por... Más información",99.25
