actividades,categorias,descripcion,precio
Visita guiada por Palma de Mallorca con entrada a la Catedral,Visitas Guiadas,"Descubra los lugares  más famosos de Palma de mallorca, durante una visita guiada por la ciudad de 90... Más información",26.0
Autobús turístico de Palma,Tours en Bus turístico,"Visite la antigua ciudad portuaria del Mediterráneo, y disfrute de las mejores atracciones para visitar en... Más información",18.5
"Tour por la isla: Sóller en tren de madera, tranvía al puerto de Sóller, Sa Calobra en barco",Excursiones de un día,"En una excursión de día completo por la parte occidental de la isla, descubra la belleza de la isla de... Más información",90.8
Visita Palma y Alrededores – Tour en Coche Eléctrico 2 Plazas,Excursiones de un día,"Tendrás la oportunidad de conducir uno de nuestros XEV YOYO, un vehículo urbano 100% eléctrico con 2... Más información",65.0
"Visita a las Cuevas del Drach, porto Cristo y Majorica – Tour de medio día",Excursiones de un día,"Excursión de medio día a Majorica, Porto Cristo y las cuevas del Drach con paseo en barca y concierto de... Más información",50.6
Catamarán Magic a Es Trenc desde Colonia de Sant Jordi,Paseos en barco,"Zarpe hacia un día mágico en el mar mientras se dirige a dos de las playas más hermosas de Mallorca, las... Más información",56.0
Tour por Palma de Mallorca y Valldemossa,Excursiones de un día,Visite la Ciudad de Palma de Mallorca y su Catedral y Valldemossa  uno de los pueblos más encantadores y... Más información,53.0
"Tour de un día a las Cuevas del Drach, Majorica y Porto Cristo",Excursiones de un día,"Descubra los encantos de la costa este de Mallorca, en esta excursión de un dia y disfrute de los paisajes a... Más información",69.0
Menorcalines por Trasmapi: Ferri de Mallorca a Menorca,Paseos en barco,"Reserve este billete de ferry, hacia la maravillosa isla de Menorca... Más información",82.0
Tour por la Cueva dels Hams y la Fabrica de perlas Majorica,Tours a pie,Disfrute de una visita excepcional a la Cueva dels Hams y la fabrica de perlas Majorica desde la zona sur... Más información,47.0
Excursión a Illetas en catamarán desde Palma,Paseos en barco,"Participe en una aventura increíble, a bordo de un catamarán viendo la costa hasta ses Illetes desde... Más información",25.0
Catamarán Oasis: Navegación a la puesta del sol – Palma,Paseos en barco,"Venga a disfrutar de esta experiencia a bordo del Oasis, un lujoso y exclusivo catamarán... Más información",95.1
"Excursión a las cuevas dels Hams y Drach, Puerto Cristo y fábrica Majorica",Excursiones de un día,Descubra alguna de las principales maravillas de Mallorca y una tienda de perlas en una excursión de día... Más información,74.0
Paseo en barco por las Calas de Ibiza con paradas,Paseos en barco,"Crucero por las calas de Ibiza, con paradas en Cala Bassa,  en Cala Conta, tiempo para darse un baño, hacer... Más información",69.0
Travesía panorámica en barco hasta la playa de Formentor,Paseos en barco,Disfrute de un divertido y relajante recorrido turístico panorámico por la costa norte de Mallorca y... Más información,36.65
Tour privado por lo mejor de Palma de Mallorca,Visitas Guiadas,Prepárese para conocer Palma de Mallorca a través de los ojos de un local... Más información,61.0
Travesía en barco por las Islas Malgrats y Toro,Paseos en barco,Recorrido en barco con visión submarina por las islas Malgrats y el Toro desde... Más información,33.0
Hard Rock Cafe Mallorca,Experiencias Gastronómicas,¡suba a un  paddle surf! Es la mejor diversión para usted y sus amigos o familiares en el hermoso pueblo... Más información,25.0
Alquiler de kayak o paddle surf en Santa Ponça,Actividades Acuáticas,"Disfrute con el alquiler de Kayak o Paddle, que nos llevará en poco tiempo a una espectacular zona virgen... Más información",15.5
Espectáculo pirata con cena en Mallorca,Espectáculos,Disfrute con el apasionante espectáculo de piratas mientras disfruta de una suculenta cena en la isla de... Más información,50.0
Excursión en Moto Acuática en la Bahia de Alcudia,Alquiler de Vehículos,"Descubra la costa de Mallorca de una forma distinta, en una moto... Más información",89.15
Entrada a Palma Aquarium,Entradas y Atracciones,Sumérjase en un emocionante viaje a través de todos los océanos sin salir de Mallorca... Más información,28.5
Bautismo de buceo en Santa Ponsa,Actividades Acuáticas,"Con este curso rápido de buceo para principiantes, aprenderá a respirar bajo el agua y se sentirás... Más información",117.9
Tour de comida típica en Palma,Experiencias Gastronómicas,"Durante el itinerario podremos  visitar algunos de los lugares más interesantes de la ciudad, donde... Más información",53.0
Coasteering por Mallorca,Deportes,"Combina a la perfección, la aventura, natación de aventura, rápel o tirolesa, escalada, escalada en roca y... Más información",66.6
"Recorrido nocturno en Mallorca: paseo a caballo, cena y baile",Experiencias Gastronómicas,"En este recorrido nocturno, podrá disfrutar de un paseo a caballo, de 1,5 horas, a lo largo de un ... Más información",93.0
Excursión de un día a Formentor y mercados tradicionales,Excursiones de un día,"En esta excursión de un dia, nos dirigimos hacia Alcúdia viajando por la llanura mallorquina... Más información",46.0
Tour a pie por el casco antiguo de Palma,Tours a pie,"En un paseo por el centro histórico de Palma conocerá  datos interesantes sobre su historia de 8000 años,... Más información",15.25
Crucero en catamarán por la costa norte de Mallorca con almuerzo,Paseos en barco,"Explore la pintoresca costa norte de Mallorca en moderno catamarán, en un relajante crucero de 5 horas, con... Más información",66.0
Visita guiada de espeleología del mar en la Cova de Coloms,Deportes,Baje a las profundidades y descubra un mundo oculto de impresionantes cuevas subterráneas en esta aventura... Más información,65.0
Recorrido en moto de agua desde el Puerto de Alcudia,Actividades Acuáticas,Conduzca una moto de agua hacia los lugares más bellos de la costa norte de Mallorca... Más información,226.0
Recorrido de compras por el mercado de Inca,Shopping Tours,"Disfrute de un original recorrido de compras por el mercado más grande de la isla, en el precioso pueblo de... Más información",52.0
